repo	source_url	classification	score	linked_papers	paper_dois	paper_years	paper_titles	species	tissue	skill_names	raw_skill_tags	description	language	stars	license	reusable_files
Teichlab/bin2cell	https://github.com/Teichlab/bin2cell	low_signal_or_unclear	1222	S0382	10.1038/s41467-025-62593-1	2025	Thor: a platform for cell-level investigation of spatial transcriptomics and histology.			stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	cell_type_mapping:2;publication_plotting:4;quality_control_preprocessing:1;spatial_domain:5;spatial_grn_regulon:1;spatial_programs:5	Join subcellular Visium HD bins into cells	Python	142	MIT	
gpenglab/STcomm	https://github.com/gpenglab/STcomm	low_signal_or_unclear	1087	S0369	10.1038/s41467-023-40155-7	2023	Three-dimensional molecular architecture of mouse organogenesis.	mouse		stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon;stereo-seq-spatial-programs	3d_reconstruction:2;cell_cell_interaction:3;cell_type_mapping:4;developmental_trajectory:1;publication_plotting:10;quality_control_preprocessing:1;spatial_cell_type_interpretation:4;spatial_communication:3;spatial_domain:10;spatial_grn_regulon:2;spatial_programs:2		R	2	GPL-3.0	R/rctd4weights.R
deepomicslab/SPIDER-paper	https://github.com/deepomicslab/SPIDER-paper	low_signal_or_unclear	1081	S0383	10.1038/s41467-025-62988-0	2025	Finding spatially variable ligand-receptor interactions with functional support from downstream genes.			stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	cell_cell_interaction:8;cell_type_mapping:3;developmental_trajectory:2;publication_plotting:5;spatial_cell_type_interpretation:7;spatial_communication:8;spatial_domain:8;spatial_programs:6		Jupyter Notebook	1	MIT	
LieberInstitute/spatialDLPFC	https://github.com/LieberInstitute/spatialDLPFC	paper_analysis_code_candidate	831	S0395	10.1038/s41592-024-02463-8	2024	Interpretable spatially aware dimension reduction of spatial transcriptomics with STAMP.			stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	cell_type_mapping:1;developmental_trajectory:1;publication_plotting:5;quality_control_preprocessing:5;spatial_domain:6;spatial_programs:7	spatialDLPFC project involving Visium (n = 30), Visium SPG (n = 4) and snRNA-seq (n = 19) samples	HTML	31	Artistic-2.0	code/MFA/08_custom_heatmaps.R | code/MFA/08_custom_heatmaps.sh | code/VistoSeg/IF/clickPlot.m | code/VistoSeg/code/clickPlot.m | code/VistoSeg/code/refineSegmentation.m | code/VistoSeg/code/refineSegmentation.sh | code/analysis/01_build_spe/02_add_clusters.R | code/analysis/01_build_spe/03_add_deconvolution.R | code/analysis/01_build_spe/sfigu_harmony.R | code/analysis/01a_marker_genes/01_marker_genes.R | code/analysis/01a_marker_genes/01_marker_genes.sh | code/analysis/02_graph_based_clustering/01_graph_based_clustering.R | code/analysis/02_graph_based_clustering/01_graph_based_clustering.sh | code/analysis/03_BayesSpace/01_BayesSpace.R | code/analysis/03_BayesSpace/01_BayesSpace.sh | code/analysis/03_BayesSpace/01a_BayesSpace_k_16_28.sh | code/analysis/03_BayesSpace/02_cluster_check.R | code/analysis/03_BayesSpace/03_BayesSpace_big_plots.R | code/analysis/03_BayesSpace/03_BayesSpace_big_plots.sh | code/analysis/03_BayesSpace/04_BayesSpace_grid_plots.R
zhanglabtools/BrainAlign	https://github.com/zhanglabtools/BrainAlign	paper_analysis_code_candidate	815	S0376	10.1038/s41467-024-50608-2	2024	Whole brain alignment of spatial transcriptomics between humans and mice with BrainAlign.	human;mouse	brain	stereo-seq-3d-reconstruction;stereo-seq-publication-plotting;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	3d_reconstruction:5;publication_plotting:4;spatial_cell_type_interpretation:2;spatial_domain:5;spatial_programs:1	"Code for ""Whole brain alignment of spatial transcriptomics between humans and mice with BrainAlign"""	Python	15	MIT	BrainAlign/SR_RSC/.ipynb_checkpoints/embedder-checkpoint.py | BrainAlign/SR_RSC/.ipynb_checkpoints/evaluation-checkpoint.py | BrainAlign/SR_RSC/.ipynb_checkpoints/main_sr_rsc-checkpoint.py | BrainAlign/SR_RSC/embedder.py | BrainAlign/SR_RSC/evaluation.py | BrainAlign/SR_RSC/layers/GCN.py | BrainAlign/SR_RSC/layers/GCN2.py | BrainAlign/SR_RSC/layers/__init__.py | BrainAlign/SR_RSC/layers/attention.py | BrainAlign/SR_RSC/layers/discriminator.py | BrainAlign/SR_RSC/layers/fc.py | BrainAlign/SR_RSC/main.py | BrainAlign/SR_RSC/main_sr_rsc.py | BrainAlign/SR_RSC/models/.ipynb_checkpoints/SubHIN-checkpoint.py | BrainAlign/SR_RSC/models/SubHIN.py | BrainAlign/SR_RSC/models/__init__.py | BrainAlign/SR_RSC/test_input_data.py | BrainAlign/SR_RSC/utils/process.py | BrainAlign/__init__.py | BrainAlign/brain_analysis/.ipynb_checkpoints/analysis-checkpoint.py
Teichlab/SpatialDE	https://github.com/Teichlab/SpatialDE	paper_analysis_code_candidate	705	S0365;S0448;S0464	10.1016/j.xgen.2024.100565;10.1186/s13059-023-03145-y;10.3390/cells12040604	2024;2023	Complete spatially resolved gene expression is not necessary for identifying spatial domains.; Evaluating spatially variable gene detection methods for spatial transcriptomics data.; SINFONIA: Scalable Identification of Spatially Variable Genes for Deciphering Spatial Domains.			stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	publication_plotting:2;quality_control_preprocessing:6;spatial_domain:1;spatial_domain:4;spatial_domain:5;spatial_programs:1	Test genes for Spatial Variation	Jupyter Notebook	185	MIT	Analysis/BMDC Pseudotime/Antiviral analysis.ipynb | Analysis/BMDC Pseudotime/DE Analsysis.ipynb | Analysis/BreastCancer/Clustering analysis.ipynb | Analysis/BreastCancer/Spatial Shuffling.ipynb | Analysis/BreastCancer/spatial_BC_analysis.py | Analysis/Comparison/run_spatialde.py | Analysis/MERFISH/spatial_MERFISH_analysis.py | Analysis/MouseOB/Clustering analysis.ipynb | Analysis/MouseOB/Compare clustering and AEH.ipynb | Analysis/MouseOB/spatial_MOB_analysis.py | Analysis/SeqFISH/spatial_SeqFISH_analysis.py | Analysis/Theory/Example Spatial Patterns.ipynb | Python-module/SpatialDE/__init__.py | Python-module/SpatialDE/aeh.py | Python-module/SpatialDE/aha.py | Python-module/SpatialDE/anndata.py | Python-module/SpatialDE/base.py | Python-module/SpatialDE/plot.py | Python-module/SpatialDE/scripts/__init__.py | Python-module/SpatialDE/scripts/spatialde_cli.py
LieberInstitute/spatialLIBD	https://github.com/LieberInstitute/spatialLIBD	paper_analysis_code_candidate	667	S0359;S0400;S0467	10.1016/j.csbj.2023.11.055;10.1038/s42003-025-07965-5;10.46471/gigabyte.109	2024;2025	A comprehensive overview of graph neural network-based approaches to clustering for spatial transcriptomics.; Flexible integration of spatial and expression information for precise spot embedding via ZINB-based graph-enhanced autoencoder.; A novel variable neighborhood search approach for cell clustering for spatial transcriptomics.			stereo-seq-3d-reconstruction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	3d_reconstruction:2;cell_type_mapping:1;cell_type_mapping:2;publication_plotting:1;publication_plotting:2;quality_control_preprocessing:1;spatial_cell_type_interpretation:1;spatial_domain:25;spatial_domain:5;spatial_domain:6;spatial_programs:1	Code for the spatialLIBD R/Bioconductor package and shiny app	R	112	Artistic-2.0	R/annotate_registered_clusters.R | R/cluster_export.R | R/cluster_import.R | R/gene_set_enrichment_plot.R | R/geom_spatial.R | R/layer_boxplot.R | R/layer_stat_cor_plot.R | R/registration_block_cor.R | R/registration_model.R | R/registration_pseudobulk.R | R/registration_stats_anova.R | R/registration_stats_enrichment.R | R/registration_stats_pairwise.R | R/registration_wrapper.R | R/sort_clusters.R | R/spatialLIBD-package.R | data-raw/create_spatialDLPFC_spe_subset.R | inst/scripts/make-data_spatialLIBD.R | inst/scripts/make-metadata_LFF_spatial_ERC.R | inst/scripts/make-metadata_spatialDLPFC.R
jinworks/CellChat	https://github.com/jinworks/CellChat	paper_analysis_code_candidate	645	S0347	10.1002/advs.202413124	2025	Multiscale Dissection of Spatial Heterogeneity by Integrating Multi-Slice Spatial and Single-Cell Transcriptomics.			stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	cell_cell_interaction:1;cell_type_mapping:7;publication_plotting:4;spatial_cell_type_interpretation:1;spatial_communication:1;spatial_domain:7;spatial_programs:2	R toolkit for inference, visualization and analysis of cell-cell communication from single-cell and spatially resolved transcriptomics	R	613	GPL-3.0	R/CellChat-package.R | R/CellChat_class.R | R/visualization.R | tutorial/CellChat-vignette.Rmd | tutorial/CellChat_analysis_of_multiple_spatial_transcriptomics_datasets.Rmd | tutorial/CellChat_analysis_of_spatial_multiomics_data.Rmd | tutorial/CellChat_analysis_of_spatial_transcriptomics_data.Rmd | tutorial/FAQ_on_applying_CellChat_to_spatial_transcriptomics_data.Rmd | tutorial/Update-CellChatDB.Rmd
JianYang-Lab/gsMap	https://github.com/JianYang-Lab/gsMap	paper_analysis_code_candidate	625	S0106	10.1038/s41586-025-08757-x	2025	Spatially resolved mapping of cells associated with human complex traits.	human		stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	cell_type_mapping:7;publication_plotting:4;quality_control_preprocessing:3;spatial_cell_type_interpretation:1;spatial_domain:13;spatial_programs:4	Integrating GWAS and spatial transcriptomics for spatially resolved mapping of cells associated with human complex traits.	Python	206	MIT	src/gsMap/config.py | src/gsMap/spatial_ldsc_multiple_sumstats.py | src/gsMap/utils/manhattan_plot.py | src/gsMap/visualize.py | visualization_web_docs/source/conf.py
LieberInstitute/HumanPilot	https://github.com/LieberInstitute/HumanPilot	paper_analysis_code_candidate	622	S0421;S0438	10.1093/bib/bbaf316;10.1101/gr.280584.125	2025	TriCLFF: a multi-modal feature fusion framework using contrastive learning for spatial domain identification.; Efficient integration of spatial omics data for joint domain detection, matching, and alignment with stMSA.			stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	3d_reconstruction:1;3d_reconstruction:4;cell_cell_interaction:1;cell_type_mapping:1;developmental_trajectory:1;developmental_trajectory:3;publication_plotting:3;spatial_communication:1;spatial_domain:23;spatial_domain:6;spatial_programs:6	Spatial Transcriptomics human DLPFC pilot study part of the spatialLIBD project	HTML	97	Artistic-2.0	Analysis/Histology/code/segmentation.m | Analysis/Layer_Guesses/dlpfc_snRNAseq_annotation.R | Analysis/Layer_Guesses/layer_marker_genes_plots.R | Analysis/SpatialDE_clustering.Rmd | Analysis/SpatialDE_genes_analysis.Rmd | Analysis/SpatialDE_statistics.Rmd | Analysis/SpatialDE_subsampling_comparison.Rmd | Analysis/archive/SpatialDE_analyses/v1/Clustering_PCA_UMAP_marker_spatial_151673.Rmd | Analysis/archive/SpatialDE_analyses/v1/Comparison_SpatialDE_genes_151673.Rmd | Analysis/archive/SpatialDE_analyses/v2/Clustering_PCA_UMAP_SpatialDE_spatial.Rmd | Analysis/archive/SpatialDE_analyses/v2/Comparison_SpatialDE_genes_pooled.Rmd | Analysis/archive/SpatialDE_analyses/v3/SpatialDE_subsampling_comparison.Rmd | Analysis/check_clustering_layers.R | Analysis/check_clustering_layers_leo.R | Analysis/check_clustering_spots.R | Analysis/check_clustering_weighted.R | Analysis/collapse_clusters.R | Analysis/make_annotation_spreadsheet.R | Analysis/plot_spaceranger_kmeans.R | Analysis/sce_clustering_umap_spatial.R
QuKunLab/SpatialBenchmarking	https://github.com/QuKunLab/SpatialBenchmarking	paper_analysis_code_candidate	616	S0084;S0371;S0461	10.1038/s41467-023-36796-3;10.1038/s41467-023-43220-3;10.1371/journal.pcbi.1013354	2023;2025	Spatially informed clustering, integration, and deconvolution of spatial transcriptomics with GraphST.; SPACEL: deep learning-based characterization of spatial transcriptome architectures.; Improving cell-type composition inference in spatial transcriptomics with SpaDAMA.			stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	3d_reconstruction:2;cell_cell_interaction:1;cell_type_mapping:2;cell_type_mapping:6;developmental_trajectory:1;publication_plotting:1;publication_plotting:2;quality_control_preprocessing:1;spatial_cell_type_interpretation:1;spatial_domain:3;spatial_domain:4;spatial_domain:6;spatial_programs:1;spatial_programs:2		Jupyter Notebook	131	BSD-2-Clause	BLAST_CelltypeDeconvolution.ipynb | Benchmarking/.ipynb_checkpoints/DeconvolutionSpot-checkpoint.py | Benchmarking/DeconvolutionSpot.py | Benchmarking/SpatialGenes.py | Codes/Deconvolution/Cell2location_pipeline.py | Codes/Deconvolution/DestVI_pipeline.py | Codes/Deconvolution/RCTD_pipeline.r | Codes/Deconvolution/SPOTlight_pipeline.r | Codes/Deconvolution/STRIDE_pipeline.sh | Codes/Deconvolution/Seurat_pipeline.r | Codes/Deconvolution/SpatialDWLS_pipeline.r | Codes/Deconvolution/Stereoscope_pipeline.py | Codes/Deconvolution/Tangram_pipeline.py | Codes/Impute/Seurat.r | Config.env.sh | FigureData/Figure2/RCodes/LIGER.r | FigureData/Figure2/RCodes/Seurat.r
wu-yc/scMetabolism	https://github.com/wu-yc/scMetabolism	method_tool_with_examples	608	S0053;S0071	10.1016/j.isci.2024.108941;10.1016/j.xcrm.2025.102140	2024;2025	Effects of flora deficiency on the structure and function of the large intestine.; Targeting mitochondrial complex I of CD177+ neutrophils alleviates lung ischemia-reperfusion injury.		intestine;lung	stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	3d_reconstruction:1;cell_cell_interaction:1;cell_type_mapping:2;cell_type_mapping:9;developmental_trajectory:2;publication_plotting:12;publication_plotting:4;quality_control_preprocessing:1;quality_control_preprocessing:7;spatial_cell_type_interpretation:3;spatial_cell_type_interpretation:5;spatial_domain:10;spatial_domain:6;spatial_programs:11;spatial_programs:6	Quantifying metabolism activity at the single-cell resolution	R	178	BSD-3-Clause	R/compute_metabolism_Seurat.R | R/visualize_metabolism.R
CSOgroup/cellcharter	https://github.com/CSOgroup/cellcharter	paper_analysis_code_candidate	593	S0378	10.1038/s41467-024-55204-y	2025	Cooperative integration of spatially resolved multi-omics data with COSMOS.			stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	developmental_trajectory:2;publication_plotting:2;quality_control_preprocessing:3;spatial_domain:3;spatial_programs:1	A Python package for the identification, characterization and comparison of spatial clusters from spatial -omics data.	Python	173	BSD-3-Clause	tests/plotting/test_group.py | tests/plotting/test_plot_nhood.py | tests/plotting/test_plot_stability.py | tests/plotting/test_shape.py
daviddaiweizhang/istar	https://github.com/daviddaiweizhang/istar	paper_analysis_code_candidate	593	S0382	10.1038/s41467-025-62593-1	2025	Thor: a platform for cell-level investigation of spatial transcriptomics and histology.			stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon;stereo-seq-spatial-programs	cell_type_mapping:2;publication_plotting:4;quality_control_preprocessing:1;spatial_domain:5;spatial_grn_regulon:1;spatial_programs:5		Python	163	GPL-3.0	cluster.py | hipt_heatmap_utils.py | marker_score.py | plot_imputed.py | plot_spots.py | visual.py
andrewcharlesjones/spatial-alignment	https://github.com/andrewcharlesjones/spatial-alignment	paper_analysis_code_candidate	591	S0449	10.1186/s13059-024-03361-0	2024	Benchmarking clustering, alignment, and integration methods for spatial transcriptomics.			stereo-seq-3d-reconstruction;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery	3d_reconstruction:5;publication_plotting:9;quality_control_preprocessing:1;spatial_domain:10	Alignment of spatial genomics data using deep Gaussian processes	Python	31	MIT	experiments/expression/codex/codex_alignment.py | experiments/expression/macosko_alignment/two_slice_alignment.py | experiments/expression/slideseq/plot_prediction_results.py | experiments/expression/slideseq/plot_slideseq_alignment.py | experiments/expression/slideseq/plot_slideseq_deformation_field.py | experiments/expression/slideseq/slideseq_alignment.py | experiments/expression/slideseq/slideseq_plot_spatially_variable_genes.py | experiments/expression/st/plot_gsea_results.py | experiments/expression/st/plot_st_alignment_3d.py | experiments/expression/st/plot_st_alignment_multiple_types.py | experiments/expression/st/plot_synthetic_warp_numgenes_results.py | experiments/expression/st/st_alignment.py | experiments/expression/st/st_alignment_3d.py | experiments/expression/st/st_alignment_3d_round2.py | experiments/expression/st/st_alignment_synthetic_warp.py | experiments/expression/st/st_alignment_synthetic_warp_multiple_types.py | experiments/expression/st/st_alignment_synthetic_warp_numgenes.py | experiments/expression/st/st_genevariance_gsea.R | experiments/expression/visium/moransi_post_alignment.py | experiments/expression/visium/plot_alignment.py
PaulingLiu/ROGUE	https://github.com/PaulingLiu/ROGUE	method_tool_with_examples	577	S0426	10.1093/bioinformatics/btae466	2024	Single-cell and spatial multiomic inference of gene regulatory networks using SCRIPro.			stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon;stereo-seq-spatial-programs	3d_reconstruction:1;cell_cell_interaction:2;cell_type_mapping:8;developmental_trajectory:4;publication_plotting:7;quality_control_preprocessing:1;spatial_communication:2;spatial_domain:10;spatial_grn_regulon:11;spatial_programs:2	Assessing the purity of single cell population	R	147	BSD-3-Clause	scripts/Clustering.evaluation.Rmd | scripts/Cross.validation.visualization.R
prabhakarlab/Banksy	https://github.com/prabhakarlab/Banksy	paper_analysis_code_candidate	562	S0449	10.1186/s13059-024-03361-0	2024	Benchmarking clustering, alignment, and integration methods for spatial transcriptomics.			stereo-seq-3d-reconstruction;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery	3d_reconstruction:5;publication_plotting:9;quality_control_preprocessing:1;spatial_domain:10	BANKSY: spatial clustering	R	147	NOASSERTION	R/cluster.R | tests/testthat/test-cluster.R | vignettes/domain-segment.Rmd
wenwenmin/SpaCross	https://github.com/wenwenmin/SpaCross	paper_analysis_code_candidate	560	S0403	10.1038/s42003-025-08810-5	2025	SpaCross deciphers spatial structures and corrects batch effects in multi-slice spatially resolved transcriptomics.			stereo-seq-3d-reconstruction;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	3d_reconstruction:4;developmental_trajectory:2;publication_plotting:5;quality_control_preprocessing:2;spatial_domain:7;spatial_programs:3	[Communications Biology 2025 (under Nature Portfolio)] SpaCross is a comprehensive analytical framework designed for spatial transcriptomics data, aiming to enhance the accuracy of spatial pattern recognition and cross-slice consistency.	Jupyter Notebook	10		Benchmark/DiffusionST-main/visual.py | Benchmark/DiffusionST-main/visual_high.py | Benchmark/SEDR-master/SEDR/clustering_func.py | Benchmark/SEDR-master/docs/Tutorial1_Clustering.ipynb | Benchmark/SPACEL-main/SPACEL/Scube/alignment.py | Benchmark/SPACEL-main/SPACEL/Scube/plot.py | Benchmark/SPACEL-main/SPACEL/Scube/utils_3d.py | Benchmark/SPACEL-main/SPACEL/Spoint/spatial_simulation.py | Benchmark/SPIRAL-main/Process/Spatial_Net.py | Benchmark/SPIRAL-main/spiral/CoordAlignment.py | Benchmark/STAligner-master/STAligner/STALIGNER.py | Benchmark/STAligner-master/STAligner/ST_utils.py | Benchmark/STAligner-master/STAligner/__init__.py | Benchmark/STAligner-master/STAligner/gat_conv.py | Benchmark/STAligner-master/STAligner/mnn_utils.py | Benchmark/STAligner-master/STAligner/train_STAligner.py | Benchmark/STAligner-master/Tutorials/Tutorial_DLPFC_12S.ipynb | Benchmark/STAligner-master/Tutorials/Tutorial_embryo.ipynb | Benchmark/STAligner-master/__init__.py | Benchmark/STAligner-master/setup.py
SunXQlab/PearlST-Code	https://github.com/SunXQlab/PearlST-Code	paper_analysis_code_candidate	543	S0465	10.34133/research.0390	2024	Dissecting Spatiotemporal Structures in Spatial Transcriptomics via Diffusion-Based Adversarial Learning.			stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery	cell_cell_interaction:4;cell_type_mapping:1;developmental_trajectory:4;publication_plotting:1;quality_control_preprocessing:4;spatial_cell_type_interpretation:2;spatial_communication:4;spatial_domain:25	The source code of PearlST for reproducing analysis results in the paper	HTML	3		Fig. 2/Fig. 2 DLPFC 151671 low-dimensional visualizations and pSMs.py | Fig. 2/Fig.2 DLPFC 151671 plot.py | Fig. 3/Fig. 3 STARmap plot.py | Fig. 4/Fig. 4 Stereoseq mouse embyro plot.py | Fig. 4/Fig. 4 Stereoseq mouse olfactory bulb tissue plot  .py | Fig. 5/Fig. 5 Slide-seqV2 mouse hippacompus plot .py | Fig. 5/Fig. 5 Slideseq-V2 mouse olfactory bulb plot.py | Fig. 6/Fig. 6 Human breast cancer plot.py | Supplementary Fig. S1/DLPFC 151507 plot.py | Supplementary Fig. S1/DLPFC 151508 plot.py | Supplementary Fig. S1/DLPFC 151509 plot.py | Supplementary Fig. S1/DLPFC 151510 plot.py | Supplementary Fig. S10, S11/Fig. S10 S11 plot.py | Supplementary Fig. S12, S13/CCI circle plot.R | Supplementary Fig. S12, S13/Fig. S12 plot.py | Supplementary Fig. S12, S13/Fig. S13.R | Supplementary Fig. S2/DLPFC 1511672 plot.py | Supplementary Fig. S2/DLPFC 151669 plot.py | Supplementary Fig. S2/DLPFC 151670 plot.py | Supplementary Fig. S3/plot domains_151673.py
raphael-group/paste	https://github.com/raphael-group/paste	method_tool_with_examples	532	S0449	10.1186/s13059-024-03361-0	2024	Benchmarking clustering, alignment, and integration methods for spatial transcriptomics.			stereo-seq-3d-reconstruction;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery	3d_reconstruction:5;publication_plotting:9;quality_control_preprocessing:1;spatial_domain:10	Probabilistic Alignment of Spatial Transcriptomics Experiments	Python	102	BSD-3-Clause	build/lib/paste/visualization.py | src/paste/visualization.py
NeuroanatomyAndConnectivity/gradient_analysis	https://github.com/NeuroanatomyAndConnectivity/gradient_analysis	paper_analysis_code_candidate	528	S0097	10.1038/s41467-025-62793-9	2025	Charting the spatial transcriptome of the human cerebral cortex at single-cell resolution.	human	cortex	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	cell_cell_interaction:1;cell_type_mapping:5;publication_plotting:8;quality_control_preprocessing:7;spatial_cell_type_interpretation:3;spatial_communication:1;spatial_domain:9;spatial_programs:7		Jupyter Notebook	108	MIT	03_visualize_embeddings.ipynb | 04_visualize_distance.ipynb | 04_visualize_networks.ipynb | 06_supplementary_analysis_and_figures.ipynb
tractatus/wholebrain	https://github.com/tractatus/wholebrain	method_tool_with_examples	523	S0083	10.1038/s41467-022-35288-0	2022	Spatial-ID: a cell typing method for spatially resolved transcriptomics via transfer learning and spatial embedding.			stereo-seq-3d-reconstruction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery;stereo-seq-cellbin-segmentation	3d_reconstruction:1;cell_type_mapping:10;publication_plotting:6;quality_control_preprocessing:1;spatial_cell_type_interpretation:1;spatial_domain:5	R package for segmentation, registration and generating web-based brain atlases from microscope images	C++	93	GPL-3.0	R/plotting.R | R/registration.R
ZJUFanLab/scSpace	https://github.com/ZJUFanLab/scSpace	paper_analysis_code_candidate	523	S0345	10.1002/advs.202403572	2024	Spatially Informed Graph Structure Learning Extracts Insights from Spatial Transcriptomics.			stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	cell_cell_interaction:3;cell_type_mapping:1;developmental_trajectory:2;publication_plotting:3;quality_control_preprocessing:1;spatial_cell_type_interpretation:1;spatial_communication:1;spatial_domain:5;spatial_programs:2	an integrative algorithm to distinguish spatially variable cell subclusters by reconstructing cells onto a pseudo space with spatial transcriptome references	HTML	23	GPL-3.0	AnalysisPaper/figures/figure1.Rmd | AnalysisPaper/figures/figure2.Rmd | AnalysisPaper/figures/figure3.Rmd | AnalysisPaper/figures/figure4.Rmd | AnalysisPaper/figures/figure5.Rmd | AnalysisPaper/figures/figure6.Rmd | AnalysisPaper/scripts/figure1/BayesSpace_DRSC_simulation.R | AnalysisPaper/scripts/figure1/SpaGCN_STAGATE_simulation.ipynb | AnalysisPaper/scripts/figure1/scCoGAPS_simulation.ipynb | AnalysisPaper/scripts/figure1/scSpace_simulation.ipynb | AnalysisPaper/scripts/figure2/DLPFC_aggregate.R | AnalysisPaper/scripts/figure2/DLPFC_validate.ipynb | AnalysisPaper/scripts/figure2/STARmap.ipynb | AnalysisPaper/scripts/figure3/human_heart.ipynb | AnalysisPaper/scripts/figure3/human_heart_spatial_informed_clustering.R | AnalysisPaper/scripts/figure4/hodge.ipynb | AnalysisPaper/scripts/figure5/melanoma.ipynb | AnalysisPaper/scripts/figure5/melanoma_validation.ipynb | AnalysisPaper/scripts/figure6/COVID19.ipynb | AnalysisPaper/scripts/figure6/MDM_spatial_informed_clustering.R
